Name,PPG,APG,RBG,FG%,3PT%,FT%
Klay Thompson,18.0,2.5,3.6,41.4,34.4,86.8
Kristaps Porziņģis,19.8,2.4,7.8,47.5,33.1,83.9
Kyle Anderson,7.7,2.6,5.0,45.1,28.1,65.2
Kyle Kuzma,16.7,3.6,8.2,44.5,32.8,73.7
Kyle Lowry,12.4,6.9,4.2,43.1,37.1,81.3
Kyrie Irving,25.5,5.6,4.0,45.2,37.8,86.5
LaMarcus Aldridge,12.0,0.9,5.4,52.9,31.8,84.9
LaMelo Ball,23.1,8.5,7.2,44.2,40.2,84.6
Lamar Stevens,7.2,0.9,2.9,49.9,31.5,68.8
Lance Stephenson,6.9,3.2,2.6,45.7,28.9,78.8
Landry Shamet,8.3,1.6,1.7,39.8,38.2,80.7
Larry Nance Jr.,6.5,2.0,5.0,50.3,31.4,70.4
Lauri Markkanen,14.4,1.3,5.7,45.0,37.2,83.3
LeBron James,23.5,5.2,8.2,52.8,36.7,77.3
Leandro Bolmaro,3.1,1.4,2.4,34.1,33.8,84.4
Lindy Waters III,8.0,1.0,2.8,39.9,33.0,80.8
Lonnie Walker IV,12.2,2.4,2.5,44.6,38.3,75.0
Lonzo Ball,13.1,4.7,5.2,41.6,38.5,75.7
Lou Williams,5.4,1.6,1.6,39.3,35.1,81.1
Luguentz Dort,17.5,1.8,4.4,41.0,32.4,81.7
Luka Doncic,28.5,9.2,9.9,45.2,31.6,75.9
Luka Garza,6.7,0.8,3.5,48.3,38.5,65.5
Luke Kennard,11.9,2.3,3.3,44.3,42.1,86.9
Malachi Flynn,7.2,2.6,2.1,42.3,39.2,65.7
Malcolm Brogdon,18.0,5.8,4.9,43.2,28.2,81.0
Malik Beasley,12.1,1.7,2.9,40.1,40.6,80.3
Malik Monk,13.9,3.1,3.3,46.3,37.0,78.4
Marcus Morris,13.8,2.0,4.4,43.6,36.8,83.2
Marcus Smart,11.3,5.3,3.7,43.5,36.0,77.5
Markus Howard,7.0,0.4,0.6,39.2,39.1,84.3
Marquese Chriss,5.3,0.6,3.4,44.9,26.6,69.1
Marvin Bagley III,11.5,0.8,7.0,51.7,26.9,65.5
Mason Plumlee,6.0,3.0,6.6,65.7,0.0,47.3
Matisse Thybulle,6.8,1.4,2.6,51.0,35.6,76.9
Matt Thomas,5.6,0.7,1.7,40.7,37.7,77.5
Maurice Harkless,5.4,0.6,2.8,45.9,31.1,73.8
Max Strus,10.4,1.4,3.0,41.5,35.7,80.4
Maxi Kleber,6.1,1.0,4.9,40.2,32.3,70.7
Mikal Bridges,14.2,2.5,4.2,50.2,32.1,84.6
Mike Conley,10.6,4.7,2.7,42.5,34.8,74.8
Mike Muscala,7.5,0.5,3.0,44.7,40.9,81.6
Miles Bridges,21.1,4.0,6.9,48.1,31.3,79.1
Miles McBride,4.9,2.4,2.2,31.5,26.7,71.8
Mitchell Robinson,8.9,0.6,8.4,79.2,0.0,52.6
Mo Bamba,11.1,1.3,7.9,47.0,36.0,77.0
Monte Morris,11.4,4.3,2.8,46.5,36.0,85.3
Montrezl Harrell,11.9,1.9,5.6,64.2,22.5,71.6
Moritz Wagner,9.0,1.4,3.5,48.9,29.9,81.4
Moses Brown,5.8,0.0,4.3,58.1,0.0,60.7
Moses Moody,6.5,0.7,2.3,46.0,36.2,72.7
Myles Turner,11.8,1.1,6.4,47.9,29.0,76.3
Naji Marshall,6.8,1.4,2.9,41.3,22.7,77.4
Nassir Little,11.8,1.7,6.2,46.7,31.9,76.5
Nathan Knight,5.7,0.9,3.3,52.1,35.0,71.3
Naz Reid,8.7,1.1,3.9,48.3,30.7,78.0
Nemanja Bjelica,4.9,2.2,3.6,45.4,34.7,81.7
Nerlens Noel,3.6,1.1,5.5,51.7,0.0,69.1
Nic Claxton,9.2,1.1,5.5,66.1,0.0,59.1
Nick Richards,4.6,0.5,2.4,65.4,0.0,71.2
Nickeil Alexander-Walker,11.0,2.5,2.9,40.7,37.9,71.1
Nicolas Batum,6.7,1.7,3.7,44.9,38.4,73.9
Nikola Jokic,26.3,8.4,13.9,56.0,30.7,79.5
Nikola Vucevic,16.2,3.2,10.0,47.5,30.3,76.0
Norman Powell,15.9,1.8,2.8,44.1,38.0,81.5
OG Anunoby,17.1,2.7,5.2,43.6,33.0,76.1
Obi Toppin,9.3,1.1,3.8,52.4,34.4,73.8
Olivier Sarr,7.4,1.1,4.2,56.7,40.1,84.5
Omer Yurtseven,6.1,1.1,6.1,54.8,1.3,67.4
Onyeka Okongwu,9.9,1.5,6.5,65.7,0.0,76.3
Oshae Brissett,9.6,1.2,5.2,39.8,30.7,71.8
Otto Porter Jr.,7.0,1.5,4.9,44.4,33.5,80.7
P.J. Tucker,6.1,1.3,4.3,46.7,38.5,75.8
P.J. Washington,10.7,2.4,5.3,45.5,32.0,74.0
Pascal Siakam,21.2,5.4,8.0,48.4,31.6,76.3
Pat Connaughton,8.8,1.2,4.0,44.1,35.7,78.8
Patrick Beverley,7.0,3.5,3.5,40.4,33.8,71.4
